Frequency(MHZ),10db,15db,20db,22db,24db,28db,31db
100,-7.07,-2.2,2.81,4.7,6.63,4.6,4.37
200,-7.7,-2.79,2.18,4.16,6.04,3.95,3.62
300,-8.35,-3.52,1.48,3.42,5.39,4.32,3.86
400,-9.5,-4.65,0.29,2.26,4.21,5.56,4.3
500,-4.11,0.69,5.62,4.75,3.9,4.12,4.6
600,-4.36,0.45,5.35,4.35,3.5,3.65,4.01
700,-4.83,0,4.87,6.78,5,5.01,5.02
800,-5.26,-0.4,4.43,6.38,5.25,3.67,4
900,-5.72,-0.86,3.95,5.91,5.7,3.56,3.9
1000,-6.07,-1.2,3.59,5.57,6.05,4.79,5.01
1100,-6.21,-1.32,3.46,5.44,5.8,4.5,4.7
1200,-6.32,-1.45,3.35,5.32,5.3,4.2,4.3
1300,-6.42,-1.54,3.27,5.23,7.08,3.72,3.8
1400,-6.5,-1.63,3.2,5.16,7.02,3.83,3.93
1500,-6.63,-1.76,3.09,5.05,6.93,4.59,4.63
1600,-6.88,-2.02,2.86,4.81,6.71,3.59,3.55
1700,-7.26,-2.41,2.5,4.45,6.35,4.17,4.02
1800,-7.56,-2.71,2.22,4.16,6.06,4.8,4.5
1900,-7.74,-2.88,2.05,4.01,5.91,4.45,4.01
2000,-7.97,-3.12,1.83,3.79,5.68,4.95,4.4
2100,-8.4,-3.55,1.4,3.36,5.23,5.1,4.45
2200,-8.97,-4.1,0.83,2.81,4.68,4.36,3.7
2300,-9.21,-4.34,0.6,2.58,4.45,5.3,4.25
2400,-9.3,-4.42,0.51,2.5,4.35,4.45,3.6
2500,-9.52,-4.63,0.3,2.28,4.12,5.3,4.1
2600,-10.12,-5.21,-0.3,1.7,3.54,7.3,4.6
2700,-10.47,-5.56,-0.66,1.34,3.17,6.95,4.83
2800,-10.37,-5.45,-0.56,1.44,3.27,7.07,4.75
2900,-10.16,-5.22,-0.34,1.66,3.51,4.78,3.5
3000,-10.53,-5.6,-0.71,1.3,3.16,4.75,3.35
3100,-11.06,-6.11,-1.22,0.79,2.66,6.51,4.7
3200,-11.02,-6.08,-1.18,0.83,2.74,6.56,4.93
3300,-11.04,-6.1,-1.17,0.82,2.78,6.55,4.62
3400,-11.58,-6.64,-1.7,0.29,2.25,6.06,5.3
3500,-11.84,-6.92,-1.97,0.02,1.98,5.82,5.45
3600,-11.96,-7.04,-2.07,-0.8,1.9,5.72,5.1
3700,-12.74,-7.82,-2.83,-0.85,1.09,4.93,5.36
3800,-13.65,-8.89,-3.5,-1.52,0.38,4,7.1
3900,-13.57,-8.67,-3.69,-1.71,0.18,3.81,4.56
4000,-13.85,-8.96,-3.99,-2.01,-0.16,3.46,6.56
4100,-14.7,-9.79,-4.85,-2.87,-1.08,2.54,2.25
4200,-15.6,-10.7,-5.78,-3.8,-2.05,1.54,4.81
4300,-15.94,-11.04,-6.15,-4.18,-2.46,1.1,4
4400,-16.79,-11.89,-7.04,-5.07,-3.41,0.13,3.4
4500,-17.76,-12.86,-8.05,-6.08,-4.44,-0.9,2.41
4600,-18.31,-13.41,-8.62,-6.65,-4.99,-1.44,1.97
4700,-19.25,-14.33,-9.58,-7.6,-5.93,-2.35,1.15
4800,-20.33,-15.41,-10.67,-8.68,-6.98,-3.38,0.21
4900,-21.31,-16.38,-11.64,-9.65,-7.9,-4.25,-0.53
5000,-21.36,-16.42,-11.7,-9.69,-7.88,-3.92,-0.05
5100,-22.13,-17.09,-12.48,-10.45,-8.59,-4.58,-0.54
5200,-23.22,-18.25,-13.56,-11.52,-9.6,-5.53,-1.35
5300,-23.95,-18.96,-14.3,-12.24,-10.27,-6.18,-1.9
5400,-24.3,-19.29,-14.63,-12.56,-10.57,-6.45,-2.15
5500,-24.86,-19.81,-15.19,-13.1,-11.09,-7,-2.77
5600,-25.83,-20.81,-16.2,-14.12,-12.09,-8.03,-3.96
5700,-26.1,-21.07,-16.47,-14.39,-12.36,-8.39,-4.52
5800,-26.74,-21.69,-17.1,-15.03,-13.01,-9.17,-5.49
5900,-27.25,-22.25,-17.67,-15.59,-13.59,-9.8,-6.8
